"","RPpos_933","RPpos_957","eWAT_RPneg_963","RPpos_975","RPpos_981","RPpos_937","RPpos_943","RPpos_947","RPpos_959","RPpos_967","RPpos_979","RPpos_927","RPpos_969","RPpos_973","RPpos_983","RPpos_929","RPpos_965","RPpos_971","RPpos_977","RPpos_985"
"Label","KO_day","KO_day","KO_day","KO_day","KO_day","KO_night","KO_night","KO_night","KO_night","KO_night","KO_night","WT_day","WT_day","WT_day","WT_day","WT_night","WT_night","WT_night","WT_night","WT_night"
"Uracil_msDial_113.0347_1.6238_Rppos"," 1.328922601","-0.495604917","-0.062859912","-0.675151452"," 0.299616194"," 1.089673701"," 1.913335347","-0.319661442"," 0.397897420"," 1.603812300","-0.520423269"," 0.662350803"," 0.006576039","-0.452538171","-0.347242860","-1.062370983","-2.071106785"," 0.588535245","-0.638479374","-1.245280484"
"Metolachlor CGA 368208_258.0723_3.8037_Rppos"," 0.71069583"," 1.21354289"," 0.09388734","-0.08201158"," 2.20470574"," 0.23967833","-0.89573723","-0.91407882"," 0.25297043"," 0.04718679","-1.94019813"," 1.51290814"," 0.58956095","-0.96963878"," 0.91280558","-1.07054070","-0.77458375","-0.29016315","-0.30585201","-0.53513784"
"_202.1078_3.8057_Rppos"," 0.78660064"," 0.77181780","-0.04707823","-0.13876133"," 2.23482691"," 0.19714064"," 0.18546799","-1.51204262"," 0.55700949","-0.37531693","-1.62997101"," 1.35625044"," 0.46636678","-1.16002237"," 1.29597305","-0.79093274","-0.99975916","-0.13897367","-0.44171794","-0.61687773"
"_148.0038_0.9811_Rppos"," 0.52177654"," 0.23592299","-0.03342645","-0.88216895"," 0.41305153","-0.75786972","-0.97806853"," 0.64200108","-1.12167133","-0.25098190","-1.18988917","-0.35083164"," 0.10794172","-0.28297721"," 2.24137122"," 0.09228433","-0.67355530"," 2.25125955"," 1.07397628","-1.05814505"
"_212.0089_1.417_Rppos"," 0.58128859"," 0.97703297"," 0.14626298"," 0.18139736"," 0.89892862"," 0.86707285"," 0.60741937"," 0.52081744"," 0.37418499"," 1.10539922","-0.15098929","-0.64767430","-0.13483299","-1.26228975","-0.41311768"," 0.23749126"," 0.03393619","-3.38444374","-0.59299389"," 0.05510981"
"_348.2742_5.6672_Rppos","-0.87735557","-1.58369449"," 0.84272978","-1.19855714","-1.55758865"," 0.04087253"," 1.29821994","-0.33532633"," 0.45637810","-0.20164384","-0.15167488"," 0.64894589"," 0.89252197"," 1.09071051"," 0.29737873","-0.97836697","-1.12891291"," 1.35317589","-0.43444958"," 1.52663701"
"Hypoxanthine_msDial_137.0463_1.3772_Rppos"," 0.7033691"," 0.4169249","-0.1791253"," 0.3741684"," 1.0593324"," 0.2745307","-0.1687708","-1.8970544"," 0.4986627"," 1.2273980","-1.6378183"," 1.1087383"," 1.2537414"," 0.6459688","-1.2303316","-0.4572787","-0.6318046"," 0.8786172","-1.4920032","-0.7472651"
"(+)-Costunolide_233.1508_4.3888_Rppos","-0.38306605","-1.37213313"," 0.67138342","-2.01020905","-1.38994410"," 0.21731647"," 1.16832213"," 0.44684422"," 0.88933364"," 0.12082022"," 0.72319594"," 0.04156690"," 0.06450213","-1.25103113","-0.07614106"," 0.27544063","-1.38204423"," 1.51939840"," 0.51328105"," 1.21316360"
"Methionine_msDial_150.0581_1.3707_Rppos"," 0.65959637"," 0.67849323"," 0.13436196"," 0.29587856"," 0.66593761"," 0.37045873","-1.34140344"," 0.53797145"," 0.28718585"," 0.48828630","-0.14111659"," 0.72466913"," 0.63725273","-0.01512494"," 0.42206285"," 0.30346003","-0.03889667","-1.52803311"," 0.23468435","-3.37572438"
"_582.04_5.1107_Rppos","-1.12594468"," 0.15786647"," 1.34197939"," 0.86775195"," 0.13207285","-0.15170672"," 0.30422594","-0.44162187"," 0.06846967"," 0.01566645"," 0.94756807","-0.37884198","-0.59621499"," 0.95060023","-2.38647171","-0.19488013"," 1.09059525","-2.10302403"," 0.90381084"," 0.59809901"
"_222.0143_1.1123_Rppos","-0.39574300","-0.03946223","-0.85868298"," 0.39056125","-0.90941544","-2.08430375","-0.14099060","-0.94393898","-0.21395335","-1.28328117","-0.26345722"," 1.84837720"," 1.35225745"," 0.57691866"," 0.88250158"," 1.13105660","-0.38295765","-0.15442645","-0.02776520"," 1.51670530"
"_566.3029_5.4058_Rppos","-0.646768008","-1.687592935"," 0.891665324","-0.717937679","-1.822551440"," 0.311564780"," 1.576195086"," 0.113266293"," 1.118502712","-0.036216755"," 0.422087664","-0.145893775"," 0.280323851","-0.978644906","-0.514428845","-0.092254790","-1.046441992"," 1.147629412"," 0.001610424"," 1.825885579"
"_215.0163_1.4174_Rppos"," 1.53642882"," 0.98647691","-0.04206361"," 0.08770619"," 0.83230994"," 1.43761433"," 0.12079373"," 0.46715457","-0.31930425"," 1.66398075","-1.05644547","-0.19197119","-0.99673666","-1.81420293"," 0.18259702"," 0.06514105","-1.07977247","-0.06844807","-1.77380203","-0.03745662"
"Hypoxanthine_137.0483_2.095_Rppos"," 0.52166809"," 0.23592323"," 0.08634767"," 0.11196206"," 0.61299729"," 0.37231420"," 0.62867183","-2.69039271"," 0.53953088"," 1.02435665","-0.27235779"," 0.78161631"," 0.82204039"," 0.83973083"," 0.03246144"," 0.08809191","-0.02515131","-1.64010109","-2.09710672"," 0.02739681"
"Guanine_metlin_152.055_2.075_Rppos"," 0.65375418"," 0.20411761"," 0.07447362"," 0.02321793"," 0.53931436"," 0.30749476"," 0.46309573","-2.15900299"," 0.39651128"," 0.99588839","-0.13387965"," 0.83680902"," 0.63258624"," 0.70834421"," 0.51601976"," 0.29864235","-0.09549024","-2.14597085","-2.33980584"," 0.22388015"
"_203.1383_4.4102_Rppos","-0.7014479","-1.4793603"," 0.8998650","-1.1774074","-1.4485366"," 0.3221334"," 1.6012602"," 0.1032681"," 1.0032632","-0.1424021"," 0.6816489","-0.6080942"," 0.2523210","-0.9654131","-0.6320165"," 0.2099078","-1.2786853"," 1.4273073"," 0.4627298"," 1.4696588"
"_514.3138_5.7576_Rppos","-0.2186167","-1.8817653"," 0.9620847","-0.9927168","-1.7156347"," 0.5311957"," 1.3683751"," 0.4960682"," 1.0323703"," 0.2054072"," 0.7173061","-0.6736777"," 0.1548421","-1.0013660","-0.8310414"," 0.3337543","-1.1509169"," 1.0304464"," 0.3023239"," 1.3315615"
"Allocryptopine_370.1658_4.4831_Rppos","-0.57625932","-1.22748405"," 1.13022719","-0.80792210","-1.25895338"," 0.09714487"," 1.88640674"," 0.16870833"," 0.99119610","-0.29744932"," 0.50507098","-0.24979645","-0.07902568","-0.88174633","-0.96068940","-0.11247260","-1.32235413"," 0.77408350"," 0.07940095"," 2.14191409"
"LPC 16:0_msDial_496.343_7.1135_Rppos","-0.72596458"," 0.96788813"," 0.88429301","-0.45795490","-0.54263402"," 0.44059273"," 1.70868819","-0.16832977"," 1.18602182","-0.57848313"," 0.05424541","-0.89457433","-0.38286385","-0.37606251","-1.60157437","-0.63775442"," 1.04585286","-0.27499009","-1.56557098"," 1.91917479"
